book_id,title,author,description,language,genres,setting,pages,publisher,publishedYear,rating,numRatings
18,Fangirl,"Rowell, Rainbow","A coming-of-age tale of fan fiction, family and first love. Cath is a Simon Snow fan.Okay, the whole world is a Simon Snow fan..But for Cath, being a fan is her life-and she's really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it's what got them through their mother leaving. Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fan fiction, dressing up like the characters for every movie premiere.Cath's sister has mostly grown away from fandom, but Cath can't let go. She doesn't want to.Now that they're going to college, Wren has told Cath she doesn't want to be roommates. Cath is on her own, completely outside of her comfort zone. She's got a surly roommate with a charming, always-around boyfriend, a fiction-writing professor who thinks fan fiction is the end of the civilized world, a handsome classmate who only wants to talk about words... And she can't stop worrying about her dad, who's loving and fragile and has never really been alone.For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? Writing her own stories?And does she even want to move on if it means leaving Simon Snow behind?",English,"Young Adult, Contemporary, Romance, Fiction, Realistic Fiction, New Adult, Audiobook, Chick Lit, Coming Of Age, Young Adult Contemporary","Lincoln, Nebraska (United States), Omaha, Nebraska (United States)",483,St. Martin's Griffin,2013,4.05,574854
19,Eleanor & Park,"Rowell, Rainbow","Eleanor is the new girl in town, and with her chaotic family life, her mismatched clothes and unruly red hair, she couldn't stick out more if she tried.Park is the boy at the back of the bus. Black T-shirts, headphones, head in a book - he thinks he's made himself invisible. But not to Eleanor... never to Eleanor.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall for each other. They fall in love the way you do the first time, when you're young, and you feel as if you have nothing and everything to lose.",English,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Audiobook, Teen, Coming Of Age, Young Adult Contemporary, High School","Omaha, Nebraska (United States)",328,St. Martin's Press,2013,4.05,860151
20,Graceling,"Cashore, Kristin","Katsa has been able to kill a man with her bare hands since she was eight-she's a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king's thug. She never expects to fall in love with beautiful Prince Po. She never expects to learn the truth behind her Grace-or the terrible secret that lies hidden far away . . . a secret that could destroy all seven kingdoms with words alone. With elegant, evocative prose and a cast of unforgettable characters, debut author Kristin Cashore creates a mesmerizing world, a death-defying adventure, and a heart-racing romance that will consume you, hold you captive, and leave you wanting more.",English,"Fantasy, Young Adult, Romance, Fiction, Adventure, Young Adult Fantasy, Magic, High Fantasy, Teen, Paranormal",,471,Harcourt,2008,4.08,384727
21,Anna and the French Kiss,"Perkins, Stephanie","Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shipped off to boarding school in Paris--until she meets Etienne St. Clair. Smart, charming, beautiful, Etienne has it all...including a serious girlfriend. But in the City of Light, wishes have a way of coming true. Will a year of romantic near-misses end with their long-awaited French kiss?",English,"Young Adult, Romance, Contemporary, Chick Lit, Fiction, Realistic Fiction, Young Adult Contemporary, Contemporary Romance, Teen, Young Adult Romance","Paris (France), Atlanta, Georgia (United States)",372,Dutton Juvenile,2010,4.01,363864
22,Throne of Glass,"Maas, Sarah J.","After serving out a year of hard labor in the salt mines of Endovier for her crimes, 18-year-old assassin Celaena Sardothien is dragged before the Crown Prince. Prince Dorian offers her her freedom on one condition: she must act as his champion in a competition to find a new royal assassin.Her opponents are men-thieves and assassins and warriors from across the empire, each sponsored by a member of the king's council. If she beats her opponents in a series of eliminations, she'll serve the kingdom for four years and then be granted her freedom. Celaena finds her training sessions with the captain of the guard, Westfall, challenging and exhilarating. But she's bored stiff by court life. Things get a little more interesting when the prince starts to show interest in her ... but it's the gruff Captain Westfall who seems to understand her best.Then one of the other contestants turns up dead ... quickly followed by another. Can Celaena figure out who the killer is before she becomes a victim? As the young assassin investigates, her search leads her to discover a greater destiny than she could possibly have imagined.",English,"Fantasy, Young Adult, Romance, Fiction, Magic, Young Adult Fantasy, High Fantasy, New Adult, Adventure, Paranormal","Rifthold, Adarlan",406,Bloomsbury USA Children's,2012,4.2,596208
23,Just Listen,"Dessen, Sarah","Last year, Annabel was ""the girl who has everything"" at least that's the part she played in the television commercial for Kopf's Department Store.This year, she's the girl who has nothing: no best friend because mean-but-exciting Sophie dropped her, no peace at home since her older sister became anorexic, and no one to sit with at lunch. Until she meets Owen Armstrong. Tall, dark, and music-obsessed, Owen is a reformed bad boy with a commitment to truth-telling. With Owen's help, maybe Annabel can face what happened the night she and Sophie stopped being friends.",English,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen, Music, Young Adult Contemporary, High School","Lakeview, North Carolina (United States)",371,Viking Books,2006,4.06,231380
24,Obsidian,"Armentrout, Jennifer L.","Starting over sucks.When we moved to West Virginia right before my senior year, I'd pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring... until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.And then he opened his mouth. Daemon is infuriating. Arrogant. Stab-worthy. We do not get along. At all. But when a stranger attacks me and Daemon literally freezes time with a wave of his hand, well, something... unexpected happens. The hot alien living next door marks me.You heard me. Alien. Turns out Daemon and his sister have a galaxy of enemies wanting to steal their abilities, and Daemon's touch has me lit up like the Vegas Strip. The only way I'm getting out of this alive is by sticking close to Daemon until my alien mojo fades. If I don't kill him first, that is.",English,"Young Adult, Paranormal, Fantasy, Romance, Aliens, Science Fiction, Paranormal Romance, Supernatural, Urban Fantasy, Fiction",West Virginia (United States),335,Entangled Teen,2012,4.18,225596
25,The Truth About Forever,"Dessen, Sarah","That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.But sometimes, unexpected things can happen-things such as the catering job at Wish, with its fun-loving, chaotic crew. Or her sister's project of renovating the neglected beach house, awakening long-buried memories. Things such as meeting Wes, a boy with a past, a taste for Truth-telling, and an amazing artistic talent, the kind of boy who could turn any girl's world upside down. As Macy ventures out of her shell, she begins to question her sheltered life.",English,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen, Young Adult Contemporary, Young Adult Romance, High School",,374,Penguin Group Inc.,2004,4.12,208954
26,Daughter of Smoke & Bone,"Taylor, Laini","Around the world, black hand prints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky.In a dark and dusty shop, a devil's supply of human teeth grows dangerously low.And in the tangled lanes of Prague, a young art student is about to be caught up in a brutal otherworldly war.Meet Karou. She fills her sketchbooks with monsters that may or may not be real, she's prone to disappearing on mysterious ""errands"", she speaks many languages - not all of them human - and her bright blue hair actually grows out of her head that color. Who is she? That is the question that haunts her, and she's about to find out.When beautiful, haunted Akiva fixes fiery eyes on her in an alley in Marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. But will Karou live to regret learning the truth about herself?",English,"Fantasy, Young Adult, Romance, Paranormal, Angels, Urban Fantasy, Fiction, Magic, Young Adult Fantasy, Supernatural","Prague (Praha) (Czech Republic), Marrakech (Marrakesh) (Morocco), Eretz",418,"Little, Brown Books for Young Readers",2011,4.01,310751
27,Howl's Moving Castle,"Jones, Diana Wynne","An alternative cover for this ISBN can be found hereSophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl-and herself-than first meets the eye.",English,"Fantasy, Young Adult, Fiction, Romance, Magic, Middle Grade, Childrens, Adventure, Classics, Young Adult Fantasy","Ingary, Porthaven, Wales",329,Harper Trophy,2001,4.26,215856
28,Pushing the Limits,"McGarry, Katie","""I won't tell anyone, Echo. I promise."", Noah tucked a curl behind my ear. It had been so long since someone touched me like he did. Why did it have to be Noah Hutchins? His dark brown eyes shifted to my covered arms. ""You didn't do that-did you? It was done to you?"" No one ever asked that question. They stared. They whispered. They laughed. But they never asked.So wrong for each other...and yet so right.No one knows what happened the night Echo Emerson went from popular girl with jock boyfriend to gossiped-about outsider with ""freaky"" scars on her arms. Even Echo can't remember the whole truth of that horrible night. All she knows is that she wants everything to go back to normal. But when Noah Hutchins, the smoking-hot, girl-using loner in the black leather jacket, explodes into her life with his tough attitude and surprising understanding, Echo's world shifts in ways she could never have imagined. They should have nothing in common. And with the secrets they both keep, being together is pretty much impossible. Yet the crazy attraction between them refuses to go away. And Echo has to ask herself just how far they can push the limits and what she'll risk for the one guy who might teach her how to love again...",English,"Romance, Young Adult, Contemporary, New Adult, Contemporary Romance, High School, Realistic Fiction, Fiction, Young Adult Romance, Young Adult Contemporary",Kentucky (United States),392,Harlequin Teen,2012,4.06,114086
29,Born at Midnight,"Hunter, C.C.","Don't miss this spectacular new series that will steal your heart and haunt your dreams, Welcome to Shadow Falls camp, nestled deep in the woods of a town called Fallen...One night Kylie Galen finds herself at the wrong party, with the wrong people, and it changes her life forever. Her mother ships her off to Shadow Falls-a camp for troubled teens, and within hours of arriving, it becomes painfully clear that her fellow campers aren't just ""troubled"".� Here at Shadow Falls, vampires, werewolves, shapeshifters, witches and fairies train side by side-learning to harness their powers, control their magic and live in the normal world.Kylie's never felt normal, but surely she doesn't belong here with a bunch of paranormal freaks either. Or does she? They insist Kylie is one of them, and that she was brought here for a reason. As if life wasn't complicated enough, enter Derek and Lucas. Derek's a half-fae who's determined to be her boyfriend, and Lucas is a smokin' hot werewolf with whom Kylie shares a secret past. Both Derek and Lucas couldn't be more different, but they both have a powerful hold on her heart. Even though Kylie feels deeply uncertain about everything, one thing is becoming painfully clear-Shadow Falls is exactly where she belongs...",English,"Young Adult, Fantasy, Paranormal, Vampires, Romance, Werewolves, Supernatural, Paranormal Romance, Magic, Witches",Texas (United States),398,St. Martin's Griffin,2011,4.12,81877
30,Animal Farm,"Orwell, George",A political fable based on the events of Russia's Bolshevik revolution and the betrayal of the cause by Joseph Stalin. The book concerns a group of barnyard animals who overthrow and chase off their exploitative human masters and set up an egalitarian society of their own.,English,"Classics, Fiction, Dystopia, Fantasy, Literature, Politics, School, Science Fiction",England (United States),140,Secker and Warburg,1945,3.95,3678637
31,A Court of Thorns and Roses,"Maas, Sarah J.","Feyre's survival rests upon her ability to hunt and kill and the forest where she lives is a cold, bleak place in the long winter months. So when she spots a deer in the forest being pursued by a wolf, she cannot resist fighting it for the flesh. But to do so, she must kill the predator and killing something so precious comes at a price ...Dragged to a magical kingdom for the murder of a faerie, Feyre discovers that her captor, his face obscured by a jewelled mask, is hiding far more than his piercing green eyes would suggest. Feyre's presence at the court is closely guarded, and as she begins to learn why, her feelings for him turn from hostility to passion and the faerie lands become an even more dangerous place. Feyre must fight to break an ancient curse, or she will lose him forever.",English,"Fantasy, Young Adult, Romance, New Adult, Retellings, Fiction, Magic, Fae, Young Adult Fantasy, Paranormal",,419,Bloomsbury USA Childrens,2015,4.22,476270
32,The Outsiders,"Hinton, S.E.","The Outsiders is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.",English,"Classics, Young Adult, Fiction, School, Realistic Fiction, Read For School, Coming Of Age, Historical Fiction, Contemporary, Teen","Tulsa, Oklahoma (United States)",192,Puffin Books (US/CAN),1997,4.1,938150
33,Legend,"Lu, Marie","What was once the western United States is now home to the Republic, a nation perpetually at war with its neighbors. Born into an elite family in one of the Republic's wealthiest districts, fifteen-year-old June is a prodigy being groomed for success in the Republic's highest military circles. Born into the slums, fifteen-year-old Day is the country's most wanted criminal. But his motives may not be as malicious as they seem.From very different worlds, June and Day have no reason to cross paths-until the day June's brother, Metias, is murdered and Day becomes the prime suspect. Caught in the ultimate game of cat and mouse, Day is in a race for his family's survival, while June seeks to avenge Metias's death. But in a shocking turn of events, the two uncover the truth of what has really brought them together, and the sinister lengths their country will go to keep its secrets.",English,"Young Adult, Dystopia, Science Fiction, Romance, Fantasy, Fiction, Adventure, Teen, Action, Post Apocalyptic","Los Angeles, The Republic of America",305,Putnam Juvenile,2011,4.17,411041
34,A Tree Grows in Brooklyn,"Smith, Betty","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",English,"Classics, Fiction, Historical Fiction, Young Adult, Coming Of Age, Historical, Literature, New York, Novels, Book Club","Williamsburg, Brooklyn, New York (United States), New York City, New York (United States), United States of America, New York State (United States)",496,HarperCollins Publishers,2006,4.27,388454
35,Cinder,"Meyer, Marissa","Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth's fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She's a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister's illness. But when her life becomes intertwined with the handsome Prince Kai's, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world's future.",English,"Young Adult, Fantasy, Science Fiction, Romance, Dystopia, Retellings, Fiction, Fairy Tales, Audiobook, Young Adult Fantasy","New Beijing, Eastern Commonwealth",400,Feiwel & Friends,2012,4.14,682555
